G29    3.766    0.330
R03    0.733    0.466
R04    5.927    0.833
R05    4.907    0.404
R13    1.070    0.383
R14    2.118    0.412
R18    3.337    0.591
R19    4.458    1.065
R20    5.725    0.374
E04    4.821    0.964
E09    4.325    0.146
E11    5.490    0.662
E12    3.730    1.257
E19    0.553    0.871
E21    1.702    0.161
E33    2.782    0.460
C01    2.283    0.735
C02    4.034    0.755
C03    3.279    0.980
C04    2.035    0.513
C05    4.404    0.382
C06    3.755    1.046
C08    0.776    1.332
C09    3.723    0.862
C13    6.215    1.290
C16    3.752    1.181
C20    0.754    0.809
C22    4.844    0.187
C29    3.755    0.654
C35    4.923    0.640
C36    3.152    0.129
C37    1.251    0.462
C38    1.739    1.270
C39    3.948    1.342
C46    2.381    0.555
C59    2.371    0.794
C60    4.081    0.678
> 2022/06/14 12:00:07.000   45
G05    1.501    0.574
G10    5.176    0.127
G13    0.712    0.557
G15    0.199    1.112
G18    5.214    1.170
G20    1.849    0.144
G23    5.450    0.577
G24    2.832    0.924
G29    3.766    0.330
R03    0.733    0.466
R04    5.928    0.833
R05    4.907    0.404
R13    1.070    0.383
R14    2.118    0.412
R18    3.337    0.591
R19    4.458    1.065
R20    5.725    0.374
E04    4.821    0.964
E09    4.325    0.146
E11    5.490    0.662
E12    3.730    1.257
E19    0.553    0.871
E21    1.702    0.161
E33    2.782    0.460
C01    2.283    0.735
C02    4.034    0.755
C03    3.279    0.980
C04    2.035    0.513
C05    4.404    0.382
C06    3.755    1.046
C08    0.777    1.332
C09    3.724    0.862
C13    6.215    1.290
C16    3.752    1.181
C20    0.754    0.809
C22    4.844    0.187
C29    3.754    0.654
C35    4.923    0.640
C36    3.152    0.129
C37    1.251    0.462
C38    1.739    1.270
C39    3.948    1.342
C46    2.381    0.555
C59    2.371    0.794
C60    4.081    0.678
> 2022/06/14 12:00:08.000   45
G05    1.501    0.574
G10    5.176    0.127
G13    0.712    0.557
G15    0.199    1.112
G18    5.213    1.170
G20    1.849    0.144
G23    5.450    0.578
G24    2.832    0.924
G29    3.766    0.330
R03    0.734    0.466
R04    5.928    0.833
R05    4.907    0.404
R13    1.070    0.383
R14    2.118    0.412
R18    3.337    0.591
R19    4.457    1.065
R20    5.725    0.374
E04    4.821    0.964
E09    4.325    0.146
E11    5.490    0.662
E12    3.730    1.257
E19    0.553    0.871
E21    1.702    0.161
E33    2.782    0.460
C01    2.283    0.735
C02    4.034    0.755
C03    3.279    0.980
C04    2.035    0.513
C05    4.404    0.382
C06    3.755    1.046
C08    0.777    1.332
C09    3.724    0.862
C13    6.215    1.290
C16    3.752    1.181
C20    0.754    0.809
C22    4.844    0.187
C29    3.754    0.654
